input_template_name:,consumer.sales_share_ice_bev_phev_body_style,input_template_version:,0.11,notes:,20240222 trial 20,,,
market_class_id,start_year,annual_vmt,price_amortization_period,share_weight,discount_rate,o_m_costs,average_occupancy,logit_exponent_mu
sedan_wagon.BEV,2022,15000,7,0.69,0.1,1600,1.58,-8
sedan_wagon.BEV,2023,15000,7,0.77,0.1,1600,1.58,-8
sedan_wagon.BEV,2024,15000,7,0.83,0.1,1600,1.58,-8
sedan_wagon.BEV,2025,15000,7,0.88,0.1,1600,1.58,-8
sedan_wagon.BEV,2026,15000,7,0.92,0.1,1600,1.58,-8
sedan_wagon.BEV,2027,15000,7,0.94,0.1,1600,1.58,-8
sedan_wagon.BEV,2028,15000,7,0.96,0.1,1600,1.58,-8
sedan_wagon.BEV,2029,15000,7,0.97,0.1,1600,1.58,-8
sedan_wagon.BEV,2030,15000,7,0.98,0.1,1600,1.58,-8
sedan_wagon.BEV,2031,15000,7,0.99,0.1,1600,1.58,-8
sedan_wagon.BEV,2032,15000,7,0.99,0.1,1600,1.58,-8
sedan_wagon.BEV,2033,15000,7,0.99,0.1,1600,1.58,-8
sedan_wagon.BEV,2034,15000,7,1,0.1,1600,1.58,-8
sedan_wagon.ICE,2022,15000,7,1,0.1,2000,1.58,-8
sedan_wagon.PHEV,2022,15000,7,0.08,0.1,1800,1.58,-8
sedan_wagon.PHEV,2023,15000,7,0.1,0.1,1800,1.58,-8
sedan_wagon.PHEV,2024,15000,7,0.13,0.1,1800,1.58,-8
sedan_wagon.PHEV,2025,15000,7,0.17,0.1,1800,1.58,-8
sedan_wagon.PHEV,2026,15000,7,0.22,0.1,1800,1.58,-8
sedan_wagon.PHEV,2027,15000,7,0.28,0.1,1800,1.58,-8
sedan_wagon.PHEV,2028,15000,7,0.34,0.1,1800,1.58,-8
sedan_wagon.PHEV,2029,15000,7,0.4,0.1,1800,1.58,-8
sedan_wagon.PHEV,2030,15000,7,0.44,0.1,1800,1.58,-8
sedan_wagon.PHEV,2031,15000,7,0.47,0.1,1800,1.58,-8
sedan_wagon.PHEV,2032,15000,7,0.49,0.1,1800,1.58,-8
sedan_wagon.PHEV,2033,15000,7,0.49,0.1,1800,1.58,-8
sedan_wagon.PHEV,2034,15000,7,0.5,0.1,1800,1.58,-8
cuv_suv_van.BEV,2022,15000,7,0.69,0.1,1600,1.58,-8
cuv_suv_van.BEV,2023,15000,7,0.77,0.1,1600,1.58,-8
cuv_suv_van.BEV,2024,15000,7,0.83,0.1,1600,1.58,-8
cuv_suv_van.BEV,2025,15000,7,0.88,0.1,1600,1.58,-8
cuv_suv_van.BEV,2026,15000,7,0.92,0.1,1600,1.58,-8
cuv_suv_van.BEV,2027,15000,7,0.94,0.1,1600,1.58,-8
cuv_suv_van.BEV,2028,15000,7,0.96,0.1,1600,1.58,-8
cuv_suv_van.BEV,2029,15000,7,0.97,0.1,1600,1.58,-8
cuv_suv_van.BEV,2030,15000,7,0.98,0.1,1600,1.58,-8
cuv_suv_van.BEV,2031,15000,7,0.99,0.1,1600,1.58,-8
cuv_suv_van.BEV,2032,15000,7,0.99,0.1,1600,1.58,-8
cuv_suv_van.BEV,2033,15000,7,0.99,0.1,1600,1.58,-8
cuv_suv_van.BEV,2034,15000,7,1,0.1,1600,1.58,-8
cuv_suv_van.ICE,2022,15000,7,1,0.1,2000,1.58,-8
cuv_suv_van.PHEV,2022,15000,7,0.08,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2023,15000,7,0.1,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2024,15000,7,0.13,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2025,15000,7,0.17,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2026,15000,7,0.22,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2027,15000,7,0.28,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2028,15000,7,0.34,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2029,15000,7,0.4,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2030,15000,7,0.44,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2031,15000,7,0.47,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2032,15000,7,0.49,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2033,15000,7,0.49,0.1,1800,1.58,-8
cuv_suv_van.PHEV,2034,15000,7,0.5,0.1,1800,1.58,-8
pickup.BEV,2022,15000,7,0.11,0.1,1600,1.58,-8
pickup.BEV,2023,15000,7,0.15,0.1,1600,1.58,-8
pickup.BEV,2024,15000,7,0.21,0.1,1600,1.58,-8
pickup.BEV,2025,15000,7,0.28,0.1,1600,1.58,-8
pickup.BEV,2026,15000,7,0.36,0.1,1600,1.58,-8
pickup.BEV,2027,15000,7,0.45,0.1,1600,1.58,-8
pickup.BEV,2028,15000,7,0.54,0.1,1600,1.58,-8
pickup.BEV,2029,15000,7,0.62,0.1,1600,1.58,-8
pickup.BEV,2030,15000,7,0.69,0.1,1600,1.58,-8
pickup.BEV,2031,15000,7,0.75,0.1,1600,1.58,-8
pickup.BEV,2032,15000,7,0.79,0.1,1600,1.58,-8
pickup.BEV,2033,15000,7,0.83,0.1,1600,1.58,-8
pickup.BEV,2034,15000,7,0.85,0.1,1600,1.58,-8
pickup.BEV,2035,15000,7,0.86,0.1,1600,1.58,-8
pickup.BEV,2036,15000,7,0.88,0.1,1600,1.58,-8
pickup.BEV,2037,15000,7,0.88,0.1,1600,1.58,-8
pickup.BEV,2038,15000,7,0.89,0.1,1600,1.58,-8
pickup.BEV,2039,15000,7,0.89,0.1,1600,1.58,-8
pickup.BEV,2040,15000,7,0.9,0.1,1600,1.58,-8
pickup.ICE,2022,15000,7,1,0.1,2000,1.58,-8
pickup.PHEV,2022,15000,7,0.08,0.1,1800,1.58,-8
pickup.PHEV,2023,15000,7,0.1,0.1,1800,1.58,-8
pickup.PHEV,2024,15000,7,0.13,0.1,1800,1.58,-8
pickup.PHEV,2025,15000,7,0.17,0.1,1800,1.58,-8
pickup.PHEV,2026,15000,7,0.22,0.1,1800,1.58,-8
pickup.PHEV,2027,15000,7,0.28,0.1,1800,1.58,-8
pickup.PHEV,2028,15000,7,0.34,0.1,1800,1.58,-8
pickup.PHEV,2029,15000,7,0.4,0.1,1800,1.58,-8
pickup.PHEV,2030,15000,7,0.44,0.1,1800,1.58,-8
pickup.PHEV,2031,15000,7,0.47,0.1,1800,1.58,-8
pickup.PHEV,2032,15000,7,0.49,0.1,1800,1.58,-8
pickup.PHEV,2033,15000,7,0.49,0.1,1800,1.58,-8
pickup.PHEV,2034,15000,7,0.5,0.1,1800,1.58,-8
